"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1699419313913",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","Enter",,,"1699419322130","main.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","print(""Welcome Jarron"")
","","0","1699419322163","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Enter",,,"1699419339322","main.py","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","
","","24","1699419339332","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","P","","25","1699419342282","main.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","P",,"26","1699419342285","main.py","1.1.5 for 2021-2022 @t1",,"P",,,,,
"X-Keystroke","P",,"26","1699419342284","main.py","1.1.5 for 2021-2022 @t1",,"P",,,,,
"X-Keystroke","r",,"27","1699419342551","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"28","1699419342836","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"29","1699419342922","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"30","1699419343046","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","(",,"31","1699419344460","main.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
"X-Keystroke","P",,"26","1699419342284","main.py","1.1.5 for 2021-2022 @t1",,"P",,,,,
"X-Keystroke","r",,"27","1699419342551","main.py","1.1.5 for 2021-2022 @t1",,"r",,,,,
"X-Keystroke","i",,"28","1699419342836","main.py","1.1.5 for 2021-2022 @t1",,"i",,,,,
"X-Keystroke","n",,"29","1699419342922","main.py","1.1.5 for 2021-2022 @t1",,"n",,,,,
"X-Keystroke","t",,"30","1699419343046","main.py","1.1.5 for 2021-2022 @t1",,"t",,,,,
"X-Keystroke","(",,"31","1699419344461","main.py","1.1.5 for 2021-2022 @t1",,"(",,,,,
